Player,Pos,Age,Tm,G,MP,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,GS,PTS,TRB,AST,STL,BLK,TOV,FG%,3P%,FT%,Salary,Salary_M
Gradey Dick,SG,22.0,TOR,71.0,1042.0,10.6,0.536,18.6,0.1,1.2,1.3,0.061,-3.2,-0.5,-3.8,-0.5,1.0,6.2,2.1,0.7,0.6,0.1,0.6,0.417,0.297,0.871,4990560.0,4.99056
Giannis Antetokounmpo,PF,31.0,MIL,36.0,1039.0,32.7,0.658,37.0,3.9,1.1,5.0,0.232,7.7,1.8,9.5,3.0,36.0,27.6,9.8,5.4,0.9,0.7,3.2,0.624,0.333,0.65,54126450.0,54.12645
Corey Kispert,SF,26.0,2TM,55.0,1035.0,13.0,0.604,18.5,1.3,0.5,1.7,0.08,-0.1,-1.9,-2.0,0.0,9.0,9.1,2.3,1.6,0.3,0.2,0.8,0.464,0.357,0.82,13975000.0,13.975
Paul George,PF,35.0,PHI,33.0,1018.0,17.6,0.577,23.4,1.2,1.3,2.5,0.118,1.5,0.7,2.2,1.1,33.0,17.8,5.4,3.8,1.8,0.5,1.7,0.442,0.397,0.84,51666090.0,51.66609
Miles McBride,SG,25.0,NYK,38.0,1017.0,13.0,0.579,18.0,1.5,1.0,2.5,0.119,0.9,0.1,1.0,0.8,14.0,12.1,2.5,2.7,0.8,0.2,0.8,0.423,0.412,0.814,4333333.0,4.333333
De'Anthony Melton,PG,27.0,GSW,44.0,1012.0,13.2,0.511,26.1,-0.9,1.4,0.5,0.024,-3.1,0.2,-2.9,-0.2,20.0,12.5,3.3,2.5,1.7,0.4,1.9,0.404,0.283,0.827,3080921.0,3.080921
John Konchar,SG,29.0,2TM,52.0,988.0,12.7,0.564,9.0,1.0,1.0,2.0,0.097,-1.6,2.1,0.5,0.6,8.0,4.1,3.9,1.8,1.3,0.6,0.5,0.471,0.278,0.694,6165000.0,6.165
Alex Caruso,SG,31.0,OKC,53.0,984.0,12.9,0.536,15.7,0.3,2.2,2.5,0.124,-1.4,3.4,2.0,1.0,0.0,6.3,2.8,2.0,1.3,0.3,0.8,0.421,0.289,0.804,18102000.0,18.102
T.J. McConnell,PG,33.0,IND,56.0,963.0,20.6,0.567,23.2,1.8,0.8,2.6,0.13,2.1,0.4,2.5,1.1,4.0,9.4,2.2,5.1,1.0,0.2,1.1,0.538,0.32,0.862,10200000.0,10.2
Ochai Agbaji,SG,25.0,2TM,61.0,955.0,8.6,0.524,14.4,0.1,0.8,0.9,0.044,-3.6,-0.5,-4.1,-0.5,13.0,5.0,2.2,0.7,0.4,0.3,0.5,0.435,0.258,0.837,6383525.0,6.383525
Aaron Gordon,PF,30.0,DEN,34.0,952.0,18.3,0.618,22.2,2.2,0.7,2.9,0.146,2.6,-1.3,1.3,0.8,31.0,16.3,5.8,2.5,0.6,0.3,1.1,0.497,0.39,0.764,22841455.0,22.841455
Tyler Herro,SG,26.0,MIA,30.0,952.0,17.5,0.605,25.2,1.4,0.9,2.3,0.114,2.7,-0.5,2.2,1.0,25.0,21.4,4.6,3.9,0.7,0.4,2.0,0.481,0.382,0.923,31000000.0,31.0
Rayan Rupert,SG,21.0,2TM,61.0,952.0,7.0,0.487,13.4,-0.5,1.0,0.5,0.025,-5.5,0.0,-5.5,-0.9,6.0,4.3,2.5,0.8,0.8,0.1,0.7,0.39,0.342,0.735,2353647.0,2.353647
Olivier-Maxence Prosper,PF,23.0,MEM,51.0,950.0,16.5,0.655,18.4,1.7,0.7,2.4,0.12,0.8,-1.1,-0.3,0.4,22.0,9.7,3.5,1.0,0.8,0.3,0.9,0.54,0.399,0.764,1002360.0,1.00236
Tyus Jones,PG,29.0,3TM,65.0,935.0,8.2,0.443,10.5,0.2,0.7,1.0,0.049,-3.0,0.6,-2.4,-0.1,10.0,2.8,1.0,2.3,0.6,0.0,0.3,0.346,0.277,0.778,7000000.0,7.0
Al Horford,C,39.0,GSW,43.0,933.0,14.8,0.554,16.5,0.8,1.3,2.1,0.108,0.3,1.4,1.8,0.9,12.0,8.3,5.0,2.6,0.7,1.2,1.0,0.424,0.36,0.846,5685000.0,5.685
Guerschon Yabusele,C,30.0,2TM,64.0,933.0,11.3,0.547,16.2,0.5,0.9,1.4,0.072,-1.5,-0.5,-2.0,0.0,16.0,5.5,3.3,0.9,0.4,0.2,0.6,0.403,0.357,0.743,5500000.0,5.5
Robert Williams,C,28.0,POR,55.0,932.0,22.4,0.728,13.0,2.3,1.9,4.2,0.215,2.1,2.5,4.7,1.6,1.0,6.7,6.9,1.0,0.6,1.5,0.8,0.716,0.333,0.617,13285713.0,13.285713
Ousmane Dieng,C,22.0,2TM,52.0,932.0,10.6,0.525,18.9,-0.3,0.8,0.6,0.03,-2.1,-0.7,-2.8,-0.2,15.0,7.0,2.8,2.0,0.4,0.3,1.0,0.425,0.367,0.759,6670882.0,6.670882
Franz Wagner,SF,24.0,ORL,30.0,928.0,19.3,0.589,26.6,1.6,1.0,2.6,0.134,2.6,-0.1,2.5,1.0,28.0,20.9,5.5,3.5,1.0,0.3,1.7,0.481,0.339,0.827,38661750.0,38.66175
Mike Conley,PG,38.0,MIN,51.0,925.0,8.9,0.491,11.4,0.7,0.9,1.7,0.088,-2.7,1.0,-1.7,0.1,13.0,4.3,1.7,2.9,0.6,0.3,0.6,0.315,0.312,0.896,11499872.0,11.499872
Justin Edwards,SF,22.0,PHI,60.0,920.0,12.1,0.576,15.9,0.8,0.8,1.6,0.085,-1.8,0.4,-1.3,0.2,12.0,6.0,1.5,1.3,0.8,0.2,0.6,0.449,0.367,0.846,2048494.0,2.048494
Nae'Qwan Tomlin,PF,25.0,CLE,60.0,913.0,12.3,0.534,15.4,0.8,1.0,1.9,0.099,-2.6,0.3,-2.3,-0.1,2.0,5.5,2.7,0.8,0.7,0.5,0.4,0.47,0.204,0.75,718150.0,0.71815
Karlo Matković,PF,24.0,NOP,62.0,912.0,16.6,0.696,13.2,1.8,0.9,2.7,0.142,0.2,0.4,0.6,0.6,2.0,5.7,3.7,0.8,0.4,0.9,0.5,0.604,0.422,0.732,1955377.0,1.955377
Isaiah Jackson,C,24.0,2TM,55.0,908.0,17.3,0.653,16.2,1.5,1.1,2.6,0.138,-1.9,0.7,-1.2,0.2,14.0,6.7,5.3,0.9,0.7,0.9,1.1,0.637,0.0,0.648,7600000.0,7.6
Cam Thomas,SG,24.0,2TM,42.0,881.0,12.6,0.53,30.3,-0.5,0.1,-0.4,-0.023,-1.2,-4.0,-5.2,-0.7,8.0,13.5,1.7,2.6,0.2,0.1,1.8,0.41,0.31,0.811,6837779.0,6.837779
Bryce McGowens,SG,23.0,NOP,42.0,880.0,11.8,0.61,14.1,1.4,0.3,1.7,0.095,-2.0,-0.9,-2.9,-0.2,13.0,8.1,2.1,1.5,0.6,0.2,0.4,0.481,0.409,0.779,724598.0,0.724598
Jalen Williams,SG,24.0,OKC,31.0,878.0,18.9,0.554,26.5,1.1,1.6,2.8,0.152,1.1,1.1,2.1,0.9,31.0,17.1,4.6,5.4,1.2,0.3,1.9,0.48,0.297,0.826,6580997.0,6.580997
Goga Bitadze,C,26.0,ORL,59.0,877.0,19.4,0.697,13.1,2.4,1.4,3.8,0.21,0.6,2.0,2.5,1.0,3.0,5.5,4.7,1.3,0.6,0.9,0.6,0.672,0.182,0.705,8333333.0,8.333333
Josh Green,SG,25.0,CHO,54.0,877.0,9.8,0.645,10.8,1.0,0.8,1.8,0.1,-1.7,1.0,-0.7,0.3,0.0,4.5,1.8,0.9,0.6,0.1,0.6,0.46,0.421,0.893,13666667.0,13.666667
Kasparas Jakučionis,PG,19.0,MIA,49.0,874.0,11.8,0.607,13.8,1.2,0.8,2.0,0.111,-1.1,0.7,-0.4,0.3,11.0,6.2,2.6,2.6,0.6,0.1,1.0,0.424,0.418,0.883,3658800.0,3.6588
Jordan Poole,PG,26.0,NOP,37.0,873.0,11.2,0.524,24.9,-0.1,0.2,0.2,0.009,-1.1,-2.4,-3.5,-0.3,6.0,12.9,1.9,3.0,0.5,0.4,1.7,0.365,0.326,0.876,31848215.0,31.848215
Clint Capela,C,31.0,HOU,70.0,868.0,17.4,0.533,13.4,1.1,1.6,2.7,0.149,-0.7,0.9,0.2,0.5,2.0,3.6,4.6,0.7,0.5,0.8,0.6,0.512,,0.597,6700000.0,6.7
Jaden Hardy,SG,23.0,2TM,55.0,868.0,11.2,0.571,24.4,-0.2,0.1,-0.1,-0.006,-1.3,-3.2,-4.5,-0.5,4.0,9.3,1.5,0.9,0.3,0.1,1.1,0.429,0.398,0.754,6000000.0,6.0
Trendon Watford,PF,25.0,PHI,52.0,857.0,13.1,0.572,17.9,0.6,0.7,1.4,0.077,-2.1,0.2,-1.9,0.0,7.0,6.6,3.4,2.5,0.3,0.4,1.2,0.513,0.2,0.779,2461463.0,2.461463
Caleb Martin,SF,30.0,DAL,58.0,856.0,9.4,0.526,12.5,-0.1,0.9,0.9,0.05,-4.0,1.7,-2.3,-0.1,12.0,3.9,2.5,1.4,0.7,0.3,0.7,0.45,0.351,0.607,9594044.0,9.594044
Kobe Brown,PF,26.0,2TM,57.0,845.0,12.2,0.596,15.8,0.7,0.5,1.2,0.066,-1.3,-1.5,-2.8,-0.2,6.0,5.5,2.9,1.2,0.3,0.2,0.8,0.473,0.367,0.796,2654880.0,2.65488
Paul Reed,C,26.0,DET,61.0,841.0,23.3,0.635,20.5,1.9,2.0,3.9,0.225,1.8,2.9,4.7,1.4,9.0,7.5,4.5,1.2,0.9,0.9,0.9,0.601,0.324,0.65,5335894.0,5.335894
Gabe Vincent,PG,29.0,2TM,50.0,840.0,6.2,0.5,12.4,0.0,0.5,0.5,0.029,-4.1,-0.6,-4.7,-0.6,7.0,4.4,1.0,1.4,0.5,0.1,0.5,0.344,0.331,0.95,11500000.0,11.5
Rob Dillingham,PG,21.0,2TM,60.0,838.0,7.1,0.448,22.5,-1.8,0.8,-1.0,-0.057,-6.7,-0.8,-7.5,-1.2,0.0,5.5,1.8,2.2,0.7,0.1,1.4,0.38,0.308,0.756,6576120.0,6.57612
Vince Williams Jr.,SG,25.0,2TM,40.0,820.0,10.7,0.478,19.5,-0.4,0.6,0.2,0.012,-1.5,0.5,-1.0,0.2,12.0,7.5,3.9,4.2,0.7,0.4,1.8,0.353,0.311,0.78,2301587.0,2.301587
Josh Minott,PF,23.0,2TM,48.0,816.0,15.8,0.655,16.4,1.2,1.1,2.4,0.138,1.3,1.1,2.4,0.9,11.0,7.3,3.3,0.9,0.9,0.4,0.9,0.498,0.426,0.793,2378870.0,2.37887
Dwight Powell,C,34.0,DAL,58.0,813.0,12.4,0.71,8.8,1.4,0.9,2.3,0.136,-3.0,1.5,-1.5,0.1,10.0,3.3,3.8,0.9,0.5,0.3,0.6,0.667,0.333,0.685,4000000.0,4.0
Nikola Jović,PF,22.0,MIA,47.0,808.0,9.5,0.48,21.3,-0.9,1.0,0.0,0.002,-3.5,-0.1,-3.5,-0.3,1.0,7.3,3.3,2.2,0.6,0.4,1.4,0.366,0.269,0.683,4445417.0,4.445417
Buddy Hield,SG,33.0,2TM,50.0,798.0,11.9,0.552,19.7,0.0,0.8,0.8,0.049,-1.6,-0.2,-1.7,0.1,3.0,7.2,2.3,1.4,0.8,0.2,0.9,0.424,0.333,0.811,9219512.0,9.219512
Jonas Valančiūnas,C,33.0,DEN,61.0,797.0,20.8,0.621,25.6,1.5,1.0,2.5,0.149,-0.2,-0.5,-0.7,0.3,5.0,8.2,4.8,1.1,0.2,0.5,1.1,0.571,0.3,0.772,10395000.0,10.395
Keegan Murray,PF,25.0,SAC,23.0,793.0,11.7,0.499,18.7,-0.2,0.4,0.2,0.01,-2.0,-1.1,-3.1,-0.2,22.0,14.0,5.7,1.7,1.0,1.6,1.2,0.42,0.277,0.776,11144093.0,11.144093
Anthony Gill,PF,33.0,WAS,50.0,791.0,13.1,0.664,12.1,1.2,0.1,1.3,0.079,-1.5,-1.2,-2.7,-0.1,3.0,5.2,2.8,1.2,0.5,0.4,0.7,0.613,0.325,0.767,2296274.0,2.296274
Ben Saraf,SG,19.0,BRK,40.0,785.0,6.8,0.471,20.5,-1.6,0.4,-1.2,-0.071,-6.1,-1.8,-7.9,-1.2,7.0,6.6,1.9,3.3,0.8,0.1,2.2,0.382,0.216,0.817,2884560.0,2.88456
Jaylen Clark,SG,24.0,MIN,63.0,784.0,10.1,0.53,13.4,0.5,0.9,1.5,0.089,-3.3,0.6,-2.7,-0.1,0.0,3.8,1.8,0.5,0.6,0.1,0.3,0.432,0.31,0.657,2191897.0,2.191897
Jevon Carter,PG,30.0,2TM,48.0,776.0,10.4,0.527,17.6,0.0,0.7,0.7,0.04,-1.7,0.1,-1.6,0.1,1.0,6.4,1.6,1.6,0.7,0.2,0.7,0.389,0.355,0.789,7680524.0,7.680524
Tyrese Martin,SG,26.0,2TM,45.0,775.0,10.3,0.501,18.5,-0.3,0.4,0.1,0.007,-1.9,-1.4,-3.3,-0.3,6.0,6.4,2.6,1.7,0.6,0.1,0.9,0.394,0.321,0.679,2191897.0,2.191897
Micah Potter,C,27.0,IND,42.0,774.0,16.7,0.686,17.2,1.7,0.5,2.3,0.14,1.4,-0.8,0.6,0.5,3.0,9.0,4.4,1.4,0.4,0.3,0.9,0.513,0.429,0.881,1527805.0,1.527805
Micah Peavy,SG,24.0,NOP,57.0,772.0,8.3,0.439,14.2,-0.2,0.4,0.3,0.017,-4.5,-0.6,-5.1,-0.6,1.0,3.8,1.8,0.9,0.7,0.1,0.3,0.376,0.245,0.714,1272870.0,1.27287
Kenrich Williams,PF,31.0,OKC,51.0,767.0,14.4,0.593,17.7,0.8,1.4,2.3,0.141,0.2,0.7,0.9,0.6,2.0,6.4,3.1,1.3,0.6,0.1,0.8,0.492,0.402,0.64,7163000.0,7.163
Kyle Anderson,SF,32.0,3TM,39.0,762.0,12.9,0.572,13.2,0.7,0.7,1.4,0.091,-1.7,1.6,-0.1,0.4,3.0,6.0,3.4,2.8,1.0,0.6,1.0,0.525,0.4,0.705,9219512.0,9.219512
Julian Strawther,SG,23.0,DEN,53.0,759.0,11.6,0.576,19.0,0.4,0.5,0.9,0.059,-1.8,-1.2,-3.0,-0.2,12.0,6.5,1.9,1.0,0.4,0.1,0.6,0.456,0.362,0.806,2674200.0,2.6742
Jalen Green,SG,23.0,PHO,29.0,757.0,15.5,0.518,32.1,-0.4,0.9,0.5,0.029,0.3,-0.9,-0.6,0.3,24.0,18.2,3.7,3.0,1.1,0.1,2.2,0.421,0.321,0.756,33584499.0,33.584499
Jonathan Kuminga,PF,23.0,2TM,33.0,754.0,14.1,0.562,23.2,0.1,0.8,0.9,0.058,-1.6,-0.6,-2.2,0.0,14.0,11.9,5.6,2.3,0.6,0.3,2.0,0.465,0.375,0.723,23799569.0,23.799569
Jabari Walker,PF,23.0,PHI,62.0,750.0,12.2,0.561,14.9,0.8,0.7,1.5,0.099,-2.3,-0.7,-2.9,-0.2,6.0,4.3,3.0,0.5,0.4,0.2,0.4,0.448,0.33,0.75,724598.0,0.724598
Noah Penda,SF,21.0,ORL,56.0,741.0,11.7,0.516,15.0,0.2,1.0,1.1,0.072,-1.9,0.6,-1.3,0.1,2.0,4.1,3.3,1.2,0.5,0.3,0.8,0.412,0.333,0.688,1272870.0,1.27287
Jalen Pickett,SG,26.0,DEN,47.0,741.0,10.4,0.546,14.2,0.6,0.4,1.0,0.064,-1.1,-1.0,-2.1,0.0,18.0,4.9,2.3,2.2,0.3,0.1,0.6,0.424,0.386,0.867,2221677.0,2.221677
Steven Adams,C,32.0,HOU,32.0,730.0,15.8,0.535,12.1,1.1,1.0,2.1,0.141,-0.2,-0.4,-0.5,0.3,11.0,5.8,8.6,1.5,0.7,0.6,1.1,0.504,,0.58,14130434.0,14.130434
Lonzo Ball,PG,28.0,CLE,35.0,728.0,9.5,0.432,13.7,-0.4,1.0,0.6,0.042,-3.0,1.8,-1.1,0.1,3.0,4.6,4.0,3.9,1.3,0.3,1.5,0.301,0.272,0.667,10000000.0,10.0
Tyler Kolek,PG,24.0,NYK,62.0,727.0,12.5,0.533,18.3,0.6,0.8,1.4,0.094,-0.8,0.1,-0.6,0.3,1.0,4.4,1.6,2.7,0.4,0.1,0.9,0.435,0.386,0.7,2191897.0,2.191897
Carter Bryant,PF,20.0,SAS,67.0,725.0,8.8,0.497,16.3,-0.2,1.1,0.9,0.058,-4.0,0.1,-4.0,-0.4,0.0,3.7,2.4,0.5,0.2,0.3,0.4,0.386,0.307,0.711,4900320.0,4.90032
Jalen Wilson,PF,25.0,BRK,49.0,716.0,8.2,0.534,18.0,-0.2,0.3,0.1,0.007,-3.5,-2.1,-5.5,-0.6,1.0,5.8,1.8,0.7,0.4,0.0,0.6,0.386,0.355,0.733,2221677.0,2.221677
Thomas Bryant,C,28.0,CLE,59.0,706.0,17.0,0.62,18.8,1.3,0.9,2.2,0.149,0.6,-0.7,-0.2,0.3,0.0,6.0,3.3,0.5,0.3,0.4,0.5,0.5,0.354,0.803,2296274.0,2.296274
Nick Richards,C,28.0,2TM,48.0,701.0,12.0,0.562,18.3,-0.2,0.8,0.6,0.039,-4.9,-1.3,-6.2,-0.7,6.0,5.8,5.1,0.3,0.2,0.7,1.2,0.512,0.278,0.644,5000000.0,5.0
Aaron Holiday,PG,29.0,HOU,52.0,698.0,9.4,0.559,17.2,0.5,0.6,1.1,0.074,-2.8,-0.5,-3.3,-0.2,1.0,5.4,0.9,1.0,0.4,0.1,0.7,0.402,0.385,0.865,2296274.0,2.296274
Kristaps Porziņģis,C,30.0,2TM,29.0,696.0,20.6,0.592,27.8,1.4,0.9,2.3,0.16,2.5,0.6,3.1,0.9,20.0,17.3,5.0,2.6,0.6,1.3,1.3,0.454,0.353,0.836,30731707.0,30.731707
Jett Howard,SF,22.0,ORL,55.0,695.0,11.3,0.561,17.3,0.7,0.5,1.2,0.084,-0.8,-1.1,-1.9,0.0,0.0,5.5,1.6,0.8,0.2,0.2,0.3,0.418,0.372,0.949,5529720.0,5.52972
Jaden Ivey,SG,23.0,2TM,37.0,670.0,13.0,0.571,19.7,0.5,0.9,1.3,0.096,-0.2,0.2,0.0,0.3,5.0,8.5,2.5,1.8,0.6,0.4,1.1,0.445,0.373,0.809,10107163.0,10.107163
Tre Mann,PG,24.0,CHO,51.0,661.0,8.6,0.466,23.2,-0.7,0.7,0.0,0.003,-4.3,-0.7,-5.0,-0.5,1.0,5.7,1.8,1.7,0.5,0.1,1.0,0.362,0.327,0.852,8000000.0,8.0
Johnny Furphy,SG,21.0,IND,35.0,643.0,9.2,0.547,12.8,0.0,0.5,0.5,0.035,-3.9,0.1,-3.8,-0.3,21.0,5.1,4.4,1.2,0.6,0.2,0.8,0.47,0.324,0.486,1955377.0,1.955377
Gary Harris,SG,31.0,MIL,46.0,632.0,7.9,0.611,8.3,0.4,0.3,0.7,0.054,-3.3,0.7,-2.6,-0.1,2.0,2.6,1.2,1.1,0.6,0.2,0.4,0.453,0.422,0.889,3634153.0,3.634153
Anthony Davis,PF,32.0,DAL,20.0,626.0,21.6,0.551,27.5,0.4,1.0,1.4,0.104,1.5,0.9,2.4,0.7,20.0,20.4,11.1,2.8,1.1,1.7,2.1,0.506,0.27,0.728,54126450.0,54.12645
Grant Williams,PF,27.0,CHO,32.0,624.0,12.5,0.605,14.6,1.0,0.6,1.6,0.123,0.3,0.6,1.0,0.5,3.0,7.0,3.9,1.7,0.3,0.4,0.9,0.423,0.381,0.808,13645500.0,13.6455
Scoot Henderson,PG,21.0,POR,26.0,616.0,13.0,0.553,26.1,0.2,0.5,0.8,0.06,-1.6,-0.9,-2.5,-0.1,6.0,14.0,2.7,3.8,0.7,0.3,2.5,0.417,0.348,0.835,10748040.0,10.74804
Kevin Love,PF,37.0,UTA,37.0,613.0,14.8,0.568,16.7,0.8,0.3,1.1,0.089,1.1,-0.9,0.2,0.3,5.0,6.7,5.8,1.8,0.4,0.2,0.8,0.397,0.373,0.841,4150000.0,4.15
Dorian Finney-Smith,PF,32.0,HOU,36.0,599.0,5.5,0.449,10.5,-0.1,0.6,0.5,0.037,-4.4,0.0,-4.4,-0.4,1.0,3.2,2.5,1.0,0.4,0.2,0.6,0.331,0.274,0.857,12700000.0,12.7
Rasheer Fleming,PF,21.0,PHO,51.0,597.0,11.0,0.519,16.3,0.2,0.6,0.9,0.069,-2.5,-1.0,-3.5,-0.2,0.0,4.2,2.3,0.2,0.4,0.4,0.4,0.407,0.345,0.563,1272870.0,1.27287
Mohamed Diawara,SF,20.0,NYK,67.0,590.0,10.7,0.566,17.2,0.3,0.7,1.0,0.078,-1.4,0.0,-1.4,0.1,6.0,3.6,1.3,0.7,0.2,0.1,0.4,0.436,0.39,0.737,1272870.0,1.27287
Jordan Hawkins,SG,23.0,NOP,47.0,587.0,6.0,0.46,16.8,-0.6,0.1,-0.5,-0.043,-3.8,-3.1,-6.9,-0.7,0.0,4.1,1.5,0.6,0.2,0.2,0.6,0.343,0.336,0.8,4741320.0,4.74132
Zeke Nnaji,PF,25.0,DEN,49.0,585.0,10.4,0.562,13.7,0.2,0.6,0.8,0.067,-3.5,-0.1,-3.5,-0.2,3.0,3.7,2.6,0.5,0.3,0.4,0.5,0.471,0.265,0.773,8177778.0,8.177778
Devin Carter,PG,23.0,SAC,34.0,574.0,13.3,0.503,23.5,-0.2,0.3,0.1,0.006,-1.9,-1.2,-3.1,-0.2,8.0,8.1,3.0,2.3,0.8,0.2,1.3,0.398,0.253,0.797,4923720.0,4.92372
Jase Richardson,SG,20.0,ORL,51.0,571.0,11.1,0.569,16.7,0.5,0.4,0.9,0.074,-1.9,-1.0,-2.9,-0.1,0.0,4.5,1.2,1.1,0.3,0.0,0.5,0.464,0.359,0.727,2983320.0,2.98332
Tidjane Salaün,PF,20.0,CHO,36.0,571.0,13.1,0.632,14.8,0.7,0.8,1.4,0.122,-1.0,0.4,-0.5,0.2,0.0,6.2,4.1,0.8,0.4,0.2,0.7,0.506,0.434,0.65,7863240.0,7.86324
